name,flag,description,source,header,cfg,is_analysis
AddDiscriminatorsPass,-add-discriminators,Add DWARF path discriminators,lib/Transforms/Utils/AddDiscriminators.cpp,,False,False
AggressiveDCEPass,-adce,Aggressive Dead Code Elimination,lib/Transforms/Scalar/ADCE.cpp,,False,False
AggressiveInstCombinerPass,-aggressive-instcombine,Combine pattern based expressions,lib/Transforms/AggressiveInstCombine/AggressiveInstCombine.cpp,,False,False
AlignmentFromAssumptionsPass,-alignment-from-assumptions,Alignment from assumptions,lib/Transforms/Scalar/AlignmentFromAssumptions.cpp,,False,False
AlwaysInlinerLegacyPass,-always-inline,Inliner for always_inline functions,lib/Transforms/IPO/AlwaysInliner.cpp,,False,False
Annotation2MetadataLegacyPass,-annotation2metadata,Annotation2Metadata,lib/Transforms/IPO/Annotation2Metadata.cpp,,False,False
AnnotationRemarksLegacyPass,-annotation-remarks,Annotation Remarks,lib/Transforms/Scalar/AnnotationRemarks.cpp,,False,False
ArgumentPromotionPass,-argpromotion,Promote 'by reference' arguments to scalars,lib/Transforms/IPO/ArgumentPromotion.cpp,,False,False
AssumeSimplifyPass,-assume-simplify,Assume Simplify,lib/Transforms/Utils/AssumeBundleBuilder.cpp,,False,False
AttributorLegacyPass,-attributor,Deduce and propagate attributes,lib/Transforms/IPO/Attributor.cpp,,False,False
BarrierNoopPass,-barrier,A No-Op Barrier Pass,lib/Transforms/IPO/BarrierNoopPass.cpp,,False,False
BitTrackingDCEPass,-bdce,Bit-Tracking Dead Code Elimination,lib/Transforms/Scalar/BDCE.cpp,,False,False
BreakCriticalEdgesPass,-break-crit-edges,Break critical edges in CFG,lib/Transforms/Utils/BreakCriticalEdges.cpp,,False,False
CFGSimplificationPass,-simplifycfg,Simplify the CFG,lib/Transforms/Scalar/SimplifyCFGPass.cpp,,False,False
CGProfileLegacyPass,-cg-profile,Call Graph Profile,lib/Transforms/Instrumentation/CGProfile.cpp,,False,False
CallSiteSplittingPass,-callsite-splitting,Call-site splitting,lib/Transforms/Scalar/CallSiteSplitting.cpp,,False,False
CalledValuePropagationPass,-called-value-propagation,Called Value Propagation,lib/Transforms/IPO/CalledValuePropagation.cpp,,False,False
CanonicalizeAliasesPass,-canonicalize-aliases,Canonicalize aliases,lib/Transforms/Utils/CanonicalizeAliases.cpp,,False,False
CanonicalizeFreezeInLoopsPass,-canon-freeze,Canonicalize Freeze Instructions in Loops,lib/Transforms/Utils/CanonicalizeFreezeInLoops.cpp,,False,False
ConstantHoistingPass,-consthoist,Constant Hoisting,lib/Transforms/Scalar/ConstantHoisting.cpp,,False,False
ConstantMergePass,-constmerge,Merge Duplicate Global Constants,lib/Transforms/IPO/ConstantMerge.cpp,,False,False
ConstraintEliminationPass,-constraint-elimination,Constraint Elimination,lib/Transforms/Scalar/ConstraintElimination.cpp,,False,False
CoroCleanupLegacyPass,-coro-cleanup,Lower all coroutine related intrinsics,lib/Transforms/Coroutines/CoroCleanup.cpp,,False,False
CoroEarlyLegacyPass,-coro-early,Lower early coroutine intrinsics,lib/Transforms/Coroutines/CoroEarly.cpp,,False,False
CoroElideLegacyPass,-coro-elide,Coroutine frame allocation elision and indirect calls replacement,lib/Transforms/Coroutines/CoroElide.cpp,,False,False
CoroSplitLegacyPass,-coro-split,Split coroutine into a set of functions driving its state machine,lib/Transforms/Coroutines/CoroSplit.cpp,,False,False
CorrelatedValuePropagationPass,-correlated-propagation,Value Propagation,lib/Transforms/Scalar/CorrelatedValuePropagation.cpp,,False,False
CrossDSOCFIPass,-cross-dso-cfi,Cross-DSO CFI,lib/Transforms/IPO/CrossDSOCFI.cpp,,False,False
DFAJumpThreadingPass,-dfa-jump-threading,DFA Jump Threading,lib/Transforms/Scalar/DFAJumpThreading.cpp,,False,False
DataFlowSanitizerLegacyPassPass,-dfsan,DataFlowSanitizer: dynamic data flow analysis.,lib/Transforms/Instrumentation/DataFlowSanitizer.cpp,,False,False
DeadArgEliminationPass,-deadargelim,Dead Argument Elimination,lib/Transforms/IPO/DeadArgumentElimination.cpp,,False,False
DeadCodeEliminationPass,-dce,Dead Code Elimination,lib/Transforms/Scalar/DCE.cpp,,False,False
DeadStoreEliminationPass,-dse,Dead Store Elimination,lib/Transforms/Scalar/DeadStoreElimination.cpp,,False,False
DivRemPairsPass,-div-rem-pairs,Hoist/decompose integer division and remainder,lib/Transforms/Scalar/DivRemPairs.cpp,,False,False
EarlyCSEMemSSAPass,-early-cse-memssa,Early CSE w/ MemorySSA,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EarlyCSEPass,-early-cse,Early CSE,lib/Transforms/Scalar/EarlyCSE.cpp,,False,False
EliminateAvailableExternallyPass,-elim-avail-extern,Eliminate Available Externally Globals,lib/Transforms/IPO/ElimAvailExtern.cpp,,False,False
EntryExitInstrumenterPass,-ee-instrument,Instrument function entry/exit with calls to e.g. mcount()(pre inlining),lib/Transforms/Utils/EntryExitInstrumenter.cpp,,False,False
FixIrreduciblePass,-fix-irreducible,Convert irreducible control-flow into natural loops,lib/Transforms/Utils/FixIrreducible.cpp,,False,False
FlattenCFGPass,-flattencfg,Flatten the CFG,lib/Transforms/Scalar/FlattenCFGPass.cpp,,False,False
Float2IntPass,-float2int,Float to int,lib/Transforms/Scalar/Float2Int.cpp,,False,False
FunctionInliningPass,-inline,Function Integration/Inlining,lib/Transforms/IPO/InlineSimple.cpp,,False,False
FunctionSpecializationPass,-function-specialization,Propagate constant arguments by specializing the function,lib/Transforms/IPO/SCCP.cpp,,False,False
GCOVProfilerPass,-insert-gcov-profiling,Insert instrumentation for GCOV profiling,lib/Transforms/Instrumentation/GCOVProfiling.cpp,,False,False
GVNHoistPass,-gvn-hoist,Early GVN Hoisting of Expressions,lib/Transforms/Scalar/GVNHoist.cpp,,False,False
GVNPass,-gvn,Global Value Numbering,lib/Transforms/Scalar/GVN.cpp,,False,False
GlobalDCEPass,-globaldce,Dead Global Elimination,lib/Transforms/IPO/GlobalDCE.cpp,,False,False
GlobalOptimizerPass,-globalopt,Global Variable Optimizer,lib/Transforms/IPO/GlobalOpt.cpp,,False,False
GlobalSplitPass,-globalsplit,Global splitter,lib/Transforms/IPO/GlobalSplit.cpp,,False,False
GuardWideningPass,-guard-widening,Widen guards,lib/Transforms/Scalar/GuardWidening.cpp,,False,False
HotColdSplittingPass,-hotcoldsplit,Hot Cold Splitting,lib/Transforms/IPO/HotColdSplitting.cpp,,False,False
IPSCCPPass,-ipsccp,Interprocedural Sparse Conditional Constant Propagation,lib/Transforms/IPO/SCCP.cpp,,False,False
IROutlinerPass,-iroutliner,IR Outliner,lib/Transforms/IPO/IROutliner.cpp,,False,False
IndVarSimplifyPass,-indvars,Induction Variable Simplification,lib/Transforms/Scalar/IndVarSimplify.cpp,,False,False
InductiveRangeCheckEliminationPass,-irce,Inductive range check elimination,lib/Transforms/Scalar/InductiveRangeCheckElimination.cpp,,False,False
InferAddressSpacesPass,-infer-address-spaces,Infer address spaces,lib/Transforms/Scalar/InferAddressSpaces.cpp,,False,False
InjectTLIMappingsLegacyPass,-inject-tli-mappings,Inject TLI Mappings,lib/Transforms/Utils/InjectTLIMappings.cpp,,False,False
InstSimplifyLegacyPass,-instsimplify,Remove redundant instructions,lib/Transforms/Scalar/InstSimplifyPass.cpp,,False,False
InstructionCombiningPass,-instcombine,Combine redundant instructions,lib/Transforms/InstCombine/InstructionCombining.cpp,,False,False
InstructionNamerPass,-instnamer,Assign names to anonymous instructions,lib/Transforms/Utils/InstructionNamer.cpp,,False,False
JumpThreadingPass,-jump-threading,Jump Threading,lib/Transforms/Scalar/JumpThreading.cpp,,False,False
LCSSAPass,-lcssa,Loop-Closed SSA Form Pass,lib/Transforms/Utils/LCSSA.cpp,,False,False
LICMPass,-licm,Loop Invariant Code Motion,lib/Transforms/Scalar/LICM.cpp,,False,False
LibCallsShrinkWrapPass,-libcalls-shrinkwrap,Conditionally eliminate dead library calls,lib/Transforms/Utils/LibCallsShrinkWrap.cpp,,False,False
LoadStoreVectorizerPass,-load-store-vectorizer,Vectorize load and Store instructions,lib/Transforms/Vectorize/LoadStoreVectorizer.cpp,,False,False
LoopDataPrefetchPass,-loop-data-prefetch,Loop Data Prefetch,lib/Transforms/Scalar/LoopDataPrefetch.cpp,,False,False
LoopDeletionPass,-loop-deletion,Delete dead loops,lib/Transforms/Scalar/LoopDeletion.cpp,,False,False
LoopDistributePass,-loop-distribute,Loop Distribution,lib/Transforms/Scalar/LoopDistribute.cpp,,False,False
LoopFlattenPass,-loop-flatten,Flattens loops,lib/Transforms/Scalar/LoopFlatten.cpp,,False,False
LoopFusePass,-loop-fusion,Loop Fusion,lib/Transforms/Scalar/LoopFuse.cpp,,False,False
LoopGuardWideningPass,-loop-guard-widening,"Widen guards (within a single loop, as a loop pass)",lib/Transforms/Scalar/GuardWidening.cpp,,False,False
LoopIdiomPass,-loop-idiom,Recognize loop idioms,lib/Transforms/Scalar/LoopIdiomRecognize.cpp,,False,False
LoopInstSimplifyPass,-loop-instsimplify,Simplify instructions in loops,lib/Transforms/Scalar/LoopInstSimplify.cpp,,False,False
LoopInterchangePass,-loop-interchange,Interchanges loops for cache reuse,lib/Transforms/Scalar/LoopInterchange.cpp,,False,False
LoopLoadEliminationPass,-loop-load-elim,Loop Load Elimination,lib/Transforms/Scalar/LoopLoadElimination.cpp,,False,False
LoopPredicationPass,-loop-predication,Loop predication,lib/Transforms/Scalar/LoopPredication.cpp,,False,False
LoopRerollPass,-loop-reroll,Reroll loops,lib/Transforms/Scalar/LoopRerollPass.cpp,,False,False
LoopRotatePass,-loop-rotate,Rotate Loops,lib/Transforms/Scalar/LoopRotation.cpp,,False,False
LoopSimplifyCFGPass,-loop-simplifycfg,Simplify loop CFG,lib/Transforms/Scalar/LoopSimplifyCFG.cpp,,False,False
LoopSimplifyPass,-loop-simplify,Canonicalize natural loops,lib/Transforms/Utils/LoopSimplify.cpp,,False,False
LoopSinkPass,-loop-sink,Loop Sink,lib/Transforms/Scalar/LoopSink.cpp,,False,False
LoopStrengthReducePass,-loop-reduce,Loop Strength Reduction,lib/Transforms/Scalar/LoopStrengthReduce.cpp,,False,False
LoopUnrollAndJamPass,-loop-unroll-and-jam,Unroll and Jam loops,lib/Transforms/Scalar/LoopUnrollAndJamPass.cpp,,False,False
LoopUnrollPass,-loop-unroll,Unroll loops,lib/Transforms/Scalar/LoopUnrollPass.cpp,,False,False
LoopUnswitchPass,-loop-unswitch,Unswitch loops,lib/Transforms/Scalar/LoopUnswitch.cpp,,False,False
LoopVectorizePass,-loop-vectorize,Loop Vectorization,lib/Transforms/Vectorize/LoopVectorize.cpp,,False,False
LoopVersioningLICMPass,-loop-versioning-licm,Loop Versioning For LICM,lib/Transforms/Scalar/LoopVersioningLICM.cpp,,False,False
LowerAtomicPass,-loweratomic,Lower atomic intrinsics to non-atomic form,lib/Transforms/Scalar/LowerAtomic.cpp,,False,False
LowerConstantIntrinsicsPass,-lower-constant-intrinsics,Lower constant intrinsics,lib/Transforms/Scalar/LowerConstantIntrinsics.cpp,,False,False
LowerExpectIntrinsicPass,-lower-expect,Lower 'expect' Intrinsics,lib/Transforms/Scalar/LowerExpectIntrinsic.cpp,,False,False
LowerGuardIntrinsicPass,-lower-guard-intrinsic,Lower the guard intrinsic to normal control flow,lib/Transforms/Scalar/LowerGuardIntrinsic.cpp,,False,False
LowerInvokePass,-lowerinvoke,"Lower invoke and unwind, for unwindless code generators",lib/Transforms/Utils/LowerInvoke.cpp,,False,False
LowerMatrixIntrinsicsMinimalPass,-lower-matrix-intrinsics-minimal,Lower the matrix intrinsics (minimal),lib/Transforms/Scalar/LowerMatrixIntrinsics.cpp,,False,False
LowerMatrixIntrinsicsPass,-lower-matrix-intrinsics,Lower the matrix intrinsics,lib/Transforms/Scalar/LowerMatrixIntrinsics.cpp,,False,False
LowerSwitchPass,-lowerswitch,Lower SwitchInst's to branches,lib/Transforms/Utils/LowerSwitch.cpp,,False,False
LowerWidenableConditionPass,-lower-widenable-condition,Lower the widenable condition to default true value,lib/Transforms/Scalar/LowerWidenableCondition.cpp,,False,False
MemCpyOptPass,-memcpyopt,MemCpy Optimization,lib/Transforms/Scalar/MemCpyOptimizer.cpp,,False,False
MergeFunctionsPass,-mergefunc,Merge Functions,lib/Transforms/IPO/MergeFunctions.cpp,,False,False
MergeICmpsLegacyPass,-mergeicmps,Merge contiguous icmps into a memcmp,lib/Transforms/Scalar/MergeICmps.cpp,,False,False
MergedLoadStoreMotionPass,-mldst-motion,MergedLoadStoreMotion,lib/Transforms/Scalar/MergedLoadStoreMotion.cpp,,False,False
NameAnonGlobalPass,-name-anon-globals,Provide a name to nameless globals,lib/Transforms/Utils/NameAnonGlobals.cpp,,False,False
NaryReassociatePass,-nary-reassociate,Nary reassociation,lib/Transforms/Scalar/NaryReassociate.cpp,,False,False
NewGVNPass,-newgvn,Global Value Numbering,lib/Transforms/Scalar/NewGVN.cpp,,False,False
OpenMPOptCGSCCLegacyPass,-openmp-opt-cgscc,OpenMP specific optimizations,lib/Transforms/IPO/OpenMPOpt.cpp,,False,False
PGOMemOPSizeOptLegacyPass,-pgo-memop-opt,Optimize memory intrinsic using its size value profile,lib/Transforms/Instrumentation/PGOMemOPSizeOpt.cpp,,False,False
PartialInliningPass,-partial-inliner,Partial Inliner,lib/Transforms/IPO/PartialInlining.cpp,,False,False
PartiallyInlineLibCallsPass,-partially-inline-libcalls,Partially inline calls to library functions,lib/Transforms/Scalar/PartiallyInlineLibCalls.cpp,,False,False
PostInlineEntryExitInstrumenterPass,-post-inline-ee-instrument,"Instrument function entry/exit with calls to e.g. mcount()"" ""(post inlining)",lib/Transforms/Utils/EntryExitInstrumenter.cpp,,False,False
PromoteMemoryToRegisterPass,-mem2reg,"Promote Memory to "" ""Register",lib/Transforms/Utils/Mem2Reg.cpp,,False,False
PruneEHPass,-prune-eh,Remove unused exception handling info,lib/Transforms/IPO/PruneEH.cpp,,False,False
ReassociatePass,-reassociate,Reassociate expressions,lib/Transforms/Scalar/Reassociate.cpp,,False,False
RedundantDbgInstEliminationPass,-redundant-dbg-inst-elim,Redundant Dbg Instruction Elimination,lib/Transforms/Scalar/DCE.cpp,,False,False
ReversePostOrderFunctionAttrsPass,-rpo-function-attrs,Deduce function attributes in RPO,lib/Transforms/IPO/FunctionAttrs.cpp,,False,False
RewriteStatepointsForGCLegacyPass,-rewrite-statepoints-for-gc,Make relocations explicit at statepoints,lib/Transforms/Scalar/RewriteStatepointsForGC.cpp,,False,False
SCCPPass,-sccp,Sparse Conditional Constant Propagation,lib/Transforms/Scalar/SCCP.cpp,,False,False
SLPVectorizerPass,-slp-vectorizer,SLP Vectorizer,lib/Transforms/Vectorize/SLPVectorizer.cpp,,False,False
SROAPass,-sroa,Scalar Replacement Of Aggregates,lib/Transforms/Scalar/SROA.cpp,,False,False
ScalarizeMaskedMemIntrinLegacyPass,-scalarize-masked-mem-intrin,Scalarize unsupported masked memory intrinsics,lib/Transforms/Scalar/ScalarizeMaskedMemIntrin.cpp,,False,False
ScalarizerPass,-scalarizer,Scalarize vector operations,lib/Transforms/Scalar/Scalarizer.cpp,,False,False
SeparateConstOffsetFromGEPPass,-separate-const-offset-from-gep,Split GEPs to a variadic base and a constant offset for better CSE,lib/Transforms/Scalar/SeparateConstOffsetFromGEP.cpp,,False,False
SinkingPass,-sink,Code sinking,lib/Transforms/Scalar/Sink.cpp,,False,False
SpeculativeExecutionPass,-speculative-execution,Speculatively execute instructions,lib/Transforms/Scalar/SpeculativeExecution.cpp,,False,False
StraightLineStrengthReducePass,-slsr,Straight line strength reduction,lib/Transforms/Scalar/StraightLineStrengthReduce.cpp,,False,False
StripDeadPrototypesPass,-strip-dead-prototypes,Strip Unused Function Prototypes,lib/Transforms/IPO/StripDeadPrototypes.cpp,,False,False
StripDebugDeclarePass,-strip-debug-declare,Strip all llvm.dbg.declare intrinsics,lib/Transforms/IPO/StripSymbols.cpp,,False,False
StripNonDebugSymbolsPass,-strip-nondebug,"Strip all symbols, except dbg symbols, from a module",lib/Transforms/IPO/StripSymbols.cpp,,False,False
StripNonLineTableDebugLegacyPass,-strip-nonlinetable-debuginfo,Strip all debug info except linetables,lib/Transforms/Utils/StripNonLineTableDebugInfo.cpp,,False,False
StripSymbolsPass,-strip,Strip all symbols from a module,lib/Transforms/IPO/StripSymbols.cpp,,False,False
TailCallEliminationPass,-tailcallelim,Tail Call Elimination,lib/Transforms/Scalar/TailRecursionElimination.cpp,,False,False
UnifyFunctionExitNodesPass,-mergereturn,Unify function exit nodes,lib/Transforms/Utils/UnifyFunctionExitNodes.cpp,,False,False
UnifyLoopExitsPass,-unify-loop-exits,Fixup each natural loop to have a single exit block,lib/Transforms/Utils/UnifyLoopExits.cpp,,False,False
VectorCombinePass,-vector-combine,Optimize scalar/vector ops,lib/Transforms/Vectorize/VectorCombine.cpp,,False,False
